"ClusterId","ClusterRunId","ClusterKey","Name","Size","TopTagsJson","CreatedAt"
"da8e99d8-b0e0-40aa-8086-d45302fc9b72","39e71ec3-918e-42ce-a189-27a71617ab0d","0","Electronic Pop Synthesizer","14","[{""Namespace"":""genre"",""Label"":""electronic"",""Score"":6.027492},{""Namespace"":""top50tags"",""Label"":""pop"",""Score"":5.932970999999999},{""Namespace"":""top50tags"",""Label"":""electronic"",""Score"":5.914472999999999},{""Namespace"":""genre"",""Label"":""pop"",""Score"":4.956162},{""Namespace"":""top50tags"",""Label"":""synthesizer"",""Score"":3.845398}]","17.7.2026. 14:48:39"
"a370f4ab-e7e0-4420-9279-add7b993bb72","39e71ec3-918e-42ce-a189-27a71617ab0d","1","Rock Alternative Indie","10","[{""Namespace"":""top50tags"",""Label"":""rock"",""Score"":6.920642},{""Namespace"":""genre"",""Label"":""rock"",""Score"":6.249725000000001},{""Namespace"":""top50tags"",""Label"":""alternative"",""Score"":4.705952999999999},{""Namespace"":""top50tags"",""Label"":""indie"",""Score"":3.857916},{""Namespace"":""genre"",""Label"":""alternative"",""Score"":2.9829249999999994}]","17.7.2026. 14:48:39"
"08ea3dcb-78e9-421c-88ac-99ca0111304a","39e71ec3-918e-42ce-a189-27a71617ab0d","10","Pop Electronic Synthesizer","15","[{""Namespace"":""top50tags"",""Label"":""pop"",""Score"":8.57615},{""Namespace"":""genre"",""Label"":""pop"",""Score"":7.962725},{""Namespace"":""genre"",""Label"":""electronic"",""Score"":2.960428},{""Namespace"":""top50tags"",""Label"":""electronic"",""Score"":2.6003140000000005},{""Namespace"":""top50tags"",""Label"":""synthesizer"",""Score"":2.1906}]","17.7.2026. 14:48:39"
"9e9485cd-4915-4ae5-9d87-f1e3acfdabbd","39e71ec3-918e-42ce-a189-27a71617ab0d","11","Hiphop Pop Rap","23","[{""Namespace"":""top50tags"",""Label"":""hiphop"",""Score"":8.604106},{""Namespace"":""genre"",""Label"":""hiphop"",""Score"":8.365078000000002},{""Namespace"":""top50tags"",""Label"":""pop"",""Score"":7.575374000000002},{""Namespace"":""genre"",""Label"":""pop"",""Score"":6.667676},{""Namespace"":""genre"",""Label"":""rap"",""Score"":5.006937}]","17.7.2026. 14:48:39"
"8a0a5fcf-fdfe-476c-bee6-fc56d4c14782","39e71ec3-918e-42ce-a189-27a71617ab0d","2","Pop Electronic Synthesizer","23","[{""Namespace"":""top50tags"",""Label"":""pop"",""Score"":8.109525},{""Namespace"":""genre"",""Label"":""electronic"",""Score"":7.4734549999999995},{""Namespace"":""genre"",""Label"":""pop"",""Score"":7.135636},{""Namespace"":""top50tags"",""Label"":""electronic"",""Score"":7.065757},{""Namespace"":""top50tags"",""Label"":""synthesizer"",""Score"":4.5139629999999995}]","17.7.2026. 14:48:39"
"980d3a85-8fdc-48f8-b669-4941202f1edd","39e71ec3-918e-42ce-a189-27a71617ab0d","3","Electronic Experimental Alternative","9","[{""Namespace"":""top50tags"",""Label"":""electronic"",""Score"":3.8718720000000006},{""Namespace"":""genre"",""Label"":""electronic"",""Score"":3.7630589999999993},{""Namespace"":""top50tags"",""Label"":""experimental"",""Score"":2.313921},{""Namespace"":""top50tags"",""Label"":""alternative"",""Score"":1.8977580000000005},{""Namespace"":""genre"",""Label"":""experimental"",""Score"":1.832199}]","17.7.2026. 14:48:39"
"335f50bd-a07e-47b6-8a54-e86fde394815","39e71ec3-918e-42ce-a189-27a71617ab0d","4","Electronic Pop Synthesizer","7","[{""Namespace"":""genre"",""Label"":""electronic"",""Score"":3.415757},{""Namespace"":""top50tags"",""Label"":""electronic"",""Score"":3.241198},{""Namespace"":""top50tags"",""Label"":""pop"",""Score"":1.9583439999999999},{""Namespace"":""top50tags"",""Label"":""synthesizer"",""Score"":1.9247139999999998},{""Namespace"":""genre"",""Label"":""pop"",""Score"":1.420171}]","17.7.2026. 14:48:39"
"16a0a0ee-473e-48fb-8243-f3c835c1d152","39e71ec3-918e-42ce-a189-27a71617ab0d","5","Rock Pop Alternative","16","[{""Namespace"":""top50tags"",""Label"":""rock"",""Score"":6.353637000000001},{""Namespace"":""top50tags"",""Label"":""pop"",""Score"":5.693472},{""Namespace"":""genre"",""Label"":""rock"",""Score"":5.454402},{""Namespace"":""genre"",""Label"":""pop"",""Score"":5.28955},{""Namespace"":""top50tags"",""Label"":""alternative"",""Score"":3.899821}]","17.7.2026. 14:48:39"
"7664e201-c0bb-48b1-abf0-5fdddc70cc88","39e71ec3-918e-42ce-a189-27a71617ab0d","6","Hiphop Rap Pop","10","[{""Namespace"":""genre"",""Label"":""hiphop"",""Score"":6.028381},{""Namespace"":""top50tags"",""Label"":""hiphop"",""Score"":5.921858},{""Namespace"":""genre"",""Label"":""rap"",""Score"":4.486331000000001},{""Namespace"":""top50tags"",""Label"":""pop"",""Score"":1.9262819999999998},{""Namespace"":""genre"",""Label"":""pop"",""Score"":1.755575}]","17.7.2026. 14:48:39"
"0e3f09fc-c213-40d5-b0c4-43e918edd0ef","39e71ec3-918e-42ce-a189-27a71617ab0d","7","Hiphop Pop Electronic","16","[{""Namespace"":""genre"",""Label"":""hiphop"",""Score"":5.8950759999999995},{""Namespace"":""top50tags"",""Label"":""hiphop"",""Score"":5.606061999999999},{""Namespace"":""top50tags"",""Label"":""pop"",""Score"":3.9888109999999997},{""Namespace"":""genre"",""Label"":""pop"",""Score"":3.506761},{""Namespace"":""genre"",""Label"":""electronic"",""Score"":3.4784980000000005}]","17.7.2026. 14:48:39"
