"PlaylistTrackId","PlaylistId","TrackId","Position","Score","Reason"
"7b34e7d5-5271-44c0-8ec3-b52e218b4cc8","d9209f99-753c-4a9e-8f96-02b05701d77f","153","1","0,442223","Fits your recent listening profile."
"cde55bfe-cba9-4f2b-a720-dca5239fa51b","d9209f99-753c-4a9e-8f96-02b05701d77f","74","2","0,440839","Fits your recent listening profile."
"6625ea66-2ba7-4e8e-a5c2-6d6c4c9e70d1","d9209f99-753c-4a9e-8f96-02b05701d77f","162","3","0,427387","Matches Locked In Mix through ambient."
"e320a458-65ad-4c27-9a9c-8629e573ad59","d9209f99-753c-4a9e-8f96-02b05701d77f","112","4","0,424533","Fits your recent listening profile."
"326546ff-ace2-41fd-82c1-9cc181c3ff62","d9209f99-753c-4a9e-8f96-02b05701d77f","184","5","0,417370","Fits your recent listening profile."
"372445e3-7104-4746-82a8-524369420a1f","d9209f99-753c-4a9e-8f96-02b05701d77f","190","6","0,403629","Fits your recent listening profile."
"92ff2bd0-c9c9-42d3-b3d3-86dd643113eb","d9209f99-753c-4a9e-8f96-02b05701d77f","185","7","0,397853","Fits your recent listening profile."
"f4a6f802-f485-4f21-8276-00d902fef9cf","d9209f99-753c-4a9e-8f96-02b05701d77f","55","8","0,388451","Fits your recent listening profile."
"e6c750a2-be21-4c65-92e5-fec576d3e156","d9209f99-753c-4a9e-8f96-02b05701d77f","35","9","0,382665","Fits your recent listening profile."
"c8fa070d-24f9-4ab2-a264-59435659cc32","d9209f99-753c-4a9e-8f96-02b05701d77f","37","10","0,380857","Fits your recent listening profile."
"fe6731b5-a798-40d2-b8b2-688701b75634","d9209f99-753c-4a9e-8f96-02b05701d77f","202","11","0,380583","Fits your recent listening profile."
"e6f6da38-c0da-40e3-85b9-73ecc022a40d","d9209f99-753c-4a9e-8f96-02b05701d77f","59","12","0,365869","Fits your recent listening profile."
"1af019bc-c887-4738-943a-5f5a5d8cf7ad","d9209f99-753c-4a9e-8f96-02b05701d77f","44","13","0,363552","Fits your recent listening profile."
"ba2146ee-9d07-46b1-8a0d-e70a4b9602b0","d9209f99-753c-4a9e-8f96-02b05701d77f","57","14","0,361191","Fits your recent listening profile."
"f576ad5a-b020-44dc-bc1c-bcc267e19bed","d9209f99-753c-4a9e-8f96-02b05701d77f","62","15","0,357372","Fits your recent listening profile."
"8ea495bb-d5c6-4274-b6fe-6c9a5b4d9de9","d9209f99-753c-4a9e-8f96-02b05701d77f","70","16","0,356614","Fits your recent listening profile."
"c6cebbbd-6320-457d-9f36-0e60434680fd","d9209f99-753c-4a9e-8f96-02b05701d77f","24","17","0,352874","Fits your recent listening profile."
"6ab88a32-76ee-490b-bc55-d3bbe0c81645","d9209f99-753c-4a9e-8f96-02b05701d77f","174","18","0,349557","Fits your recent listening profile."
"2432f11e-5342-4c1c-841f-6a09c824a319","d9209f99-753c-4a9e-8f96-02b05701d77f","71","19","0,349081","Fits your recent listening profile."
"d998e6a7-c2ca-4598-b7a8-5230933db891","d9209f99-753c-4a9e-8f96-02b05701d77f","172","20","0,315405","Fits your recent listening profile."
"3a84aff3-4923-4de8-abbd-e6a57ce12ee6","d9209f99-753c-4a9e-8f96-02b05701d77f","28","21","0,240347","Fits your recent listening profile."
"27b5e4b8-339e-4292-a041-48c8a9da455b","d9209f99-753c-4a9e-8f96-02b05701d77f","27","22","0,240125","Fits your recent listening profile."
"06bbdbee-25c4-46da-ac24-bfda02e819a5","d9209f99-753c-4a9e-8f96-02b05701d77f","177","23","0,070984","Popularity and freshness fallback while your taste profile grows."
"e5478ab1-7af1-4b08-92e6-0ca724d83941","d9209f99-753c-4a9e-8f96-02b05701d77f","49","24","0,042609","Catalog fallback for this recommendation intent."
"0fb86d88-742f-4f1c-8722-069bbac9b418","d9209f99-753c-4a9e-8f96-02b05701d77f","32","25","0,022967","Catalog fallback for this recommendation intent."
