"PlaylistId","UserId","ThemeKey","Name","Description","PlaylistDate","CreatedAt","ThemeId"
"f0643baf-4874-4e07-b4e6-f6399c328e64","13","energetic-mix","Energetic Mix","A daily upbeat mix shaped around your recent listening.","12.7.2026. 0:00:00","12.7.2026. 21:38:35","11111111-1111-4111-8111-111111111111"
"8b880d10-ce3b-4311-a529-c794cdb8a082","13","three-am-and-alone","3am and Alone Mix","A late-night, introspective mix picked for your taste.","12.7.2026. 0:00:00","12.7.2026. 21:38:36","22222222-2222-4222-8222-222222222222"
"d1fe64b8-b998-4ccf-bbef-69a51777d3ef","13","late-night-drive","Late Night Drive Mix","Smooth tracks for night drives, tuned to your profile.","12.7.2026. 0:00:00","12.7.2026. 21:38:36","33333333-3333-4333-8333-333333333333"
"d536aa77-9a57-4633-b02c-721c8627469f","13","gym-motivation","Gym Motivation Mix","High-energy tracks for training, personalized daily.","12.7.2026. 0:00:00","12.7.2026. 21:38:36","44444444-4444-4444-8444-444444444444"
"79b2bb8d-9e0e-44af-9502-d957a0dc3a4d","13","energetic-mix","Energetic Mix","A daily upbeat mix shaped around your recent listening.","14.7.2026. 0:00:00","14.7.2026. 17:09:47","11111111-1111-4111-8111-111111111111"
"3f8b478c-679f-4a54-89c4-b47b28843882","13","three-am-and-alone","3am and Alone Mix","A late-night, introspective mix picked for your taste.","14.7.2026. 0:00:00","14.7.2026. 17:09:48","22222222-2222-4222-8222-222222222222"
"15932385-ec7d-4c23-86f7-18d7727f514c","13","late-night-drive","Late Night Drive Mix","Smooth tracks for night drives, tuned to your profile.","14.7.2026. 0:00:00","14.7.2026. 17:09:48","33333333-3333-4333-8333-333333333333"
"0103d2e9-0066-4dd3-a7f9-aca53fc67f34","13","gym-motivation","Gym Motivation Mix","High-energy tracks for training, personalized daily.","14.7.2026. 0:00:00","14.7.2026. 17:09:48","44444444-4444-4444-8444-444444444444"
"c903077d-07b6-44be-92f8-bed900af55dd","13","energetic-mix","Energetic Mix","A daily upbeat mix shaped around your recent listening.","16.7.2026. 0:00:00","16.7.2026. 12:06:51","11111111-1111-4111-8111-111111111111"
"da7ef674-4f58-479b-a5d1-df0525dcf7ec","13","three-am-and-alone","3am and Alone Mix","A late-night, introspective mix picked for your taste.","16.7.2026. 0:00:00","16.7.2026. 12:06:52","22222222-2222-4222-8222-222222222222"
"0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","13","late-night-drive","Late Night Drive Mix","Smooth tracks for night drives, tuned to your profile.","16.7.2026. 0:00:00","16.7.2026. 12:06:52","33333333-3333-4333-8333-333333333333"
"c10fae3c-8aee-4275-942a-d6dd0d4f8542","13","gym-motivation","Gym Motivation Mix","High-energy tracks for training, personalized daily.","16.7.2026. 0:00:00","16.7.2026. 12:06:53","44444444-4444-4444-8444-444444444444"
"21a3a5a7-3651-4a81-9559-089ac6d4c230","13","energetic-mix","Energetic Mix","A daily upbeat mix shaped around your recent listening.","17.7.2026. 0:00:00","17.7.2026. 14:48:48","11111111-1111-4111-8111-111111111111"
"dc4aec9e-121e-4486-be0d-22890815cb3e","13","three-am-and-alone","3am and Alone Mix","A late-night, introspective mix picked for your taste.","17.7.2026. 0:00:00","17.7.2026. 14:48:49","22222222-2222-4222-8222-222222222222"
"fe6dde18-6509-417e-86b4-57924fc8f377","13","late-night-drive","Late Night Drive Mix","Smooth tracks for night drives, tuned to your profile.","17.7.2026. 0:00:00","17.7.2026. 14:48:49","33333333-3333-4333-8333-333333333333"
"97033077-79b4-4bc2-9cb7-7ed24186b48e","13","gym-motivation","Gym Motivation Mix","High-energy tracks for training, personalized daily.","17.7.2026. 0:00:00","17.7.2026. 14:48:49","44444444-4444-4444-8444-444444444444"
"ff09aa38-623a-4c65-b824-67e011a6778e","13","energetic-mix","Energetic Mix","A daily upbeat mix shaped around your recent listening.","18.7.2026. 0:00:00","18.7.2026. 10:28:42","11111111-1111-4111-8111-111111111111"
"4376b6f9-e050-4738-8e6c-cc162e844054","13","three-am-and-alone","3am and Alone Mix","A late-night, introspective mix picked for your taste.","18.7.2026. 0:00:00","18.7.2026. 10:28:52","22222222-2222-4222-8222-222222222222"
"92c81819-34e1-48b7-bee9-d52d55b05056","13","late-night-drive","Late Night Drive Mix","Smooth tracks for night drives, tuned to your profile.","18.7.2026. 0:00:00","18.7.2026. 10:29:04","33333333-3333-4333-8333-333333333333"
"9242bb65-c0b8-40c7-afce-5f4ae02ba050","13","gym-motivation","Gym Motivation Mix","High-energy tracks for training, personalized daily.","18.7.2026. 0:00:00","18.7.2026. 10:29:16","44444444-4444-4444-8444-444444444444"
"3027b11d-ea6f-405b-83c9-f53e453af207","13","energetic-mix","Energetic Mix","A daily upbeat mix shaped around your recent listening.","24.7.2026. 0:00:00","24.7.2026. 15:42:47","11111111-1111-4111-8111-111111111111"
"aa0c0a48-37b7-4315-9bd0-159562e65bec","13","three-am-and-alone","3am and Alone Mix","A late-night, introspective mix picked for your taste.","24.7.2026. 0:00:00","24.7.2026. 15:42:48","22222222-2222-4222-8222-222222222222"
"a63e5008-4e45-416c-8590-f54a00de1c3f","13","late-night-drive","Late Night Drive Mix","Smooth tracks for night drives, tuned to your profile.","24.7.2026. 0:00:00","24.7.2026. 15:42:48","33333333-3333-4333-8333-333333333333"
"5d8d5d61-8256-40b3-8bf7-e734462d2f3f","13","gym-motivation","Gym Motivation Mix","High-energy tracks for training, personalized daily.","24.7.2026. 0:00:00","24.7.2026. 15:42:49","44444444-4444-4444-8444-444444444444"
"db5e5771-cd80-4954-8a5f-61242ed6b44a","13","gaming-mix","Gaming Mix","","24.7.2026. 0:00:00","24.7.2026. 16:28:36","938112ef-33e2-4b35-8d6c-c86142bc23c6"
"5745dc04-850b-42da-9c6d-b661176fdf10","13","locked-in-mix","Locked In Mix","Steady, low-distraction tracks built for deep work, study sessions, and staying completely in the zone.","24.7.2026. 0:00:00","24.7.2026. 16:28:37","644d79fa-385a-4858-a43a-9fdd905ad22d"
"c878b623-4f96-4a68-b41a-fef92a222ad5","13","energetic-mix","Energetic Mix","A daily upbeat mix shaped around your recent listening.","27.7.2026. 0:00:00","27.7.2026. 18:43:50","11111111-1111-4111-8111-111111111111"
"d9209f99-753c-4a9e-8f96-02b05701d77f","13","locked-in-mix","Locked In Mix","Steady, low-distraction tracks built for deep work, study sessions, and staying completely in the zone.","27.7.2026. 0:00:00","27.7.2026. 18:43:50","644d79fa-385a-4858-a43a-9fdd905ad22d"
"1df92886-d632-40c8-8bb7-3895ca4db4d4","13","three-am-and-alone","3am and Alone Mix","A late-night, introspective mix picked for your taste.","27.7.2026. 0:00:00","27.7.2026. 18:43:51","22222222-2222-4222-8222-222222222222"
"cf080eb3-c036-422e-88eb-9e9d1d329e1c","13","late-night-drive","Late Night Drive Mix","Smooth tracks for night drives, tuned to your profile.","27.7.2026. 0:00:00","27.7.2026. 18:43:51","33333333-3333-4333-8333-333333333333"
"90d3f7fb-5a69-4868-ac71-c2ad580a82a0","13","gym-motivation","Gym Motivation Mix","High-energy tracks for training, personalized daily.","27.7.2026. 0:00:00","27.7.2026. 18:43:51","44444444-4444-4444-8444-444444444444"
