"InteractionId","UserId","TrackId","InteractionType","OccurredAt","PlayedMs","TrackDurationMs","CompletionRatio","ContextType","ClientEventId","CreatedAt"
"d89007db-85aa-4fc5-8120-b42f5179ea0b","13","37","1","12.7.2026. 21:32:10","0","299000","0,000000","Playback","4081f818-dee2-49b8-af04-429b9d1f09bc","12.7.2026. 21:32:10"
"5e7e17d3-1702-4a4a-926b-92377770acb4","13","37","3","12.7.2026. 21:32:15","2489","299000","0,008324","Playback","bea7f7a5-ed4e-4580-aa71-5a7144d530da","12.7.2026. 21:32:15"
"99314cf9-e88a-435c-8348-3315a6301995","13","73","1","12.7.2026. 21:32:15","0","308000","0,000000","Playlist","082457ac-b126-4b71-aa27-8348d88e3560","12.7.2026. 21:32:15"
"58c782dd-3a16-4f05-a0ea-e0f6cc891b0a","13","73","3","12.7.2026. 21:33:20","60736","308000","0,197195","Playlist","a97a5d18-08d7-48b9-b3d9-c6e61ab6ea40","12.7.2026. 21:33:20"
"75fcd818-9314-4320-955f-8690bf651948","13","171","1","12.7.2026. 21:33:20","0","221000","0,000000","Playlist","6e6c1162-a55e-4823-b23b-3145fffdf347","12.7.2026. 21:33:20"
"5e4b421b-c93d-421c-8504-d9c55d7ebd35","13","171","3","12.7.2026. 21:33:23","3184","221000","0,014407","Playlist","d0c9abc0-8f7f-473f-9ef3-4573ce27c4f0","12.7.2026. 21:33:23"
"363080e1-8816-4498-a8e8-f25b84554283","13","68","1","12.7.2026. 21:33:24","0","223000","0,000000","Autoplay","54d614d1-3c1d-4138-92ce-a841b1d0ad31","12.7.2026. 21:33:24"
"eaaedcae-8845-4e37-8582-4b23fa0fe33f","13","68","3","12.7.2026. 21:33:37","13333","223000","0,059789","Autoplay","d63d0938-a762-488e-9388-f2c289df2fae","12.7.2026. 21:33:37"
"a9c96f6d-884f-4980-8a51-ec01462dcf94","13","178","1","12.7.2026. 21:33:37","0","229000","0,000000","Autoplay","9c7a9bde-3e24-443d-aad4-b475184cbb35","12.7.2026. 21:33:37"
"2d5c9319-2dd2-4372-ace6-4184f2601c91","13","178","3","12.7.2026. 21:33:40","1575","229000","0,006878","Autoplay","448fd9a4-e282-4192-a9ef-709f0eb29834","12.7.2026. 21:33:40"
"33d9b043-12f7-4f48-89b2-ed3120e74bd0","13","178","1","12.7.2026. 21:33:40","0","229000","0,000000","Radio","608a8456-f63a-41f7-aa21-b891e3e89b9f","12.7.2026. 21:33:40"
"e58e06f9-8524-4469-9110-4b40478ee66d","13","178","3","12.7.2026. 21:33:49","9634","229000","0,042070","Radio","b3eb0417-4562-476f-885c-4a5b0b566fb5","12.7.2026. 21:33:49"
