"Endpoint","Iteration","DurationMs","Successful"
"home-recommendations","1","500,11","True"
"home-recommendations","2","492,68","True"
"home-recommendations","3","505,34","True"
"home-recommendations","4","511,1","True"
"home-recommendations","5","487,33","True"
"track-radio","1","439,26","True"
"track-radio","2","399,08","True"
"track-radio","3","400,17","True"
"track-radio","4","458,28","True"
"track-radio","5","477,6","True"
"track-stems","1","14,92","True"
"track-stems","2","6,12","True"
"track-stems","3","5,16","True"
"track-stems","4","5,04","True"
"track-stems","5","5,71","True"
"playback-master","1","12,48","True"
"playback-master","2","9,61","True"
"playback-master","3","13,47","True"
"playback-master","4","14,53","True"
"playback-master","5","13,67","True"
"playback-stems","1","13,74","True"
"playback-stems","2","13,69","True"
"playback-stems","3","13,61","True"
"playback-stems","4","14,16","True"
"playback-stems","5","14,04","True"
