SeedTrackId,Recommendations,SameClusterAt10,TagJaccardAt10,EmbeddingSimilarityAt10,RecommendedTrackIds
17,10,0.3,0.5800000000000001,0.612541863322258,18|19|25|163|57|150|165|75|38|44
45,10,1.0,0.5883333333333334,0.5506732046604157,38|42|57|35|172|174|137|171|186|138
63,10,0.8,0.22333333333333333,0.7162879645824433,68|59|128|67|149|109|71|142|53|178
90,10,0.7,0.775,0.8040932357311249,132|72|179|112|131|116|56|61|38|64
93,10,0.5,0.4800000000000001,0.7980463862419128,178|145|106|94|136|72|61|179|68|64
96,10,0.4,0.635,0.6747385203838349,150|75|76|107|173|68|170|61|171|64
97,10,0.6,0.5866666666666667,0.7276208996772766,79|98|123|165|173|170|68|65|61|171
99,10,0.7,0.51,0.7176918923854828,154|163|78|105|65|70|52|61|173|171
115,10,1.0,0.35,0.7304010629653931,74|140|151|86|44|37|58|24|51|20
181,10,0.7,0.5116666666666667,0.6641385436058045,193|202|53|184|180|55|36|59|147|68
187,10,0.3,0.33666666666666667,0.6323907285928726,200|198|201|180|53|55|147|59|68|138
18,10,0.3,0.5800000000000001,0.612541863322258,17|19|25|163|57|150|165|75|38|44
