variant,episodes,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,mrr,catalog_coverage_at_10,intra_list_diversity
pop,10,0.0,0.0,0.0,0.030000000000000006,0.3,0.09055596987675978,0.015000000000000003,0.3,0.09055596987675978,0.04243740295741509,0.14606741573033707,0.3979737759629886
fresh_pop,10,0.02,0.1,0.0430676558073393,0.02,0.2,0.07868837451814152,0.01,0.2,0.07868837451814152,0.054147373757015595,0.12921348314606743,0.4044907571872075
content_seed,10,0.04,0.2,0.11309297535714576,0.030000000000000006,0.3,0.14871369406794796,0.025,0.5,0.19424774380733859,0.11522535508619218,0.3707865168539326,0.2101615353425344
embedding_only,10,0.04,0.2,0.15,0.02,0.2,0.15,0.01,0.2,0.15,0.14056414055949748,0.1853932584269663,0.14166004988882278
tag_cluster_only,10,0.02,0.1,0.0430676558073393,0.030000000000000006,0.3,0.11023486219671441,0.015000000000000003,0.3,0.11023486219671441,0.06545945356616761,0.2808988764044944,0.3308083100120226
hybrid,10,0.02,0.1,0.03868528072345416,0.01,0.1,0.03868528072345416,0.02,0.4,0.10813101824578922,0.025388191295201246,0.2808988764044944,0.33179741912417937
no_embedding,10,0.0,0.0,0.0,0.01,0.1,0.03333333333333333,0.01,0.2,0.059598286837052684,0.04088961754633254,0.24157303370786518,0.49254123485750617
no_tags,10,0.02,0.1,0.03868528072345416,0.01,0.1,0.03868528072345416,0.02,0.4,0.10813101824578922,0.025388191295201246,0.2808988764044944,0.33179741912417937
no_clusters,10,0.02,0.1,0.03868528072345416,0.01,0.1,0.03868528072345416,0.02,0.4,0.1103639933760939,0.02311625076375517,0.23595505617977527,0.2843848912583457
no_decay,10,0.02,0.1,0.03868528072345416,0.01,0.1,0.03868528072345416,0.01,0.2,0.06145230559314946,0.02274987334782702,0.2640449438202247,0.359976828429434
no_novelty,10,0.02,0.1,0.03868528072345416,0.01,0.1,0.03868528072345416,0.02,0.4,0.10813101824578922,0.2097680649484838,0.2808988764044944,0.33179741912417937
no_diversity,10,0.0,0.0,0.0,0.01,0.1,0.03333333333333333,0.005,0.1,0.03333333333333333,0.025388191295201246,0.3089887640449438,0.24663746469550665
